word,品詞,意味,頻出度,example_en,example_ja
success,名詞,成功,A,The party was a great success.,パーティーは大成功でした。
summary,名詞,要約,A,Please write a short summary of this book.,この本の短い要約を書いてください。
supply,名詞,供給,A,The city has a good supply of fresh water.,その市は真水の供給が十分です。
support,名詞,支持,A,Thank you for your support during the test.,試験の間のあなたのサポートに感謝します。
surface,名詞,表面,A,The surface of the table is very smooth.,テーブルの表面はとても滑らかです。
survey,名詞,調査,A,A survey showed that many people like cats.,調査によると、多くの人が猫を好きだと分かりました。
task,名詞,仕事,A,My first task today is to clean the office.,今日の私の最初の仕事はオフィスを掃除することです。
technology,名詞,技術,A,Technology is changing our lives quickly.,テクノロジーは私たちの生活を急速に変えています。
temperature,名詞,温度,A,The temperature will be very high today.,今日は気温がとても高くなるでしょう。
trade,名詞,貿易,A,Trade between the two countries is increasing.,2国間の貿易が増えています。
tradition,名詞,伝統,A,It is a tradition to eat special food on New Year.,お正月に特別な食べ物を食べるのは伝統です。
traffic,名詞,交通,A,There is heavy traffic on this road today.,今日はこの道路の交通量が非常に多いです。
treatment,名詞,治療,A,He is receiving medical treatment at the hospital.,彼は病院で治療を受けています。
trend,名詞,傾向,A,There is a trend toward buying smaller cars.,より小さな車を買う傾向があります。
trick,名詞,計略 / いたずら,A,He showed us a funny card trick.,彼は私たちに面白いカードマジック（手品）を見せました。
value,名詞,価値,A,This old coin has a very high value.,この古い硬貨にはとても高い価値があります。
view,名詞,眺め / 意見,A,We had a beautiful view of the sea from the room.,部屋からは海の美しい眺めが見えました。
volume,名詞,音量 / 巻,A,Please turn down the volume of the radio.,ラジオの音量を下げてください。
vote,名詞,投票,A,I will cast my vote in the election tomorrow.,明日の選挙で投票するつもりです。
waste,名詞,廃棄物 / 無駄,A,Throwing away food is a waste of money.,食べ物を捨てるのはお金の無駄です。
wealth,名詞,富,A,Health is more important than wealth.,健康は富よりも大切です。
abroad,形容詞・副詞,外国へ、海外で,A,I want to study abroad in the future.,私は将来、留学したいです。
absent,形容詞・副詞,欠席して,A,He was absent from school yesterday.,彼は昨日、学校を欠席しました。
actually,形容詞・副詞,実際は、実は,A,"Actually, I have never been to Kyoto.",実は、私は京都に行ったことがありません。
additional,形容詞・副詞,追加の,A,You need to pay an additional fee.,追加料金を支払う必要があります。
afterward,形容詞・副詞,あとで,A,We had lunch and went to the park afterward.,私たちは昼食を食べ、その後公園に行きました。
alike,形容詞・副詞,似ている,A,The two brothers look very much alike.,その2人の兄弟はとてもよく似ています。
alive,形容詞・副詞,生きている,A,The fish was still alive when I caught it.,私が捕まえた時、その魚はまだ生きていました。
ancient,形容詞・副詞,古代の,A,We visited an ancient castle in Nara.,私たちは奈良にある古代の城を訪れました。
anymore,形容詞・副詞,（打ち消し文で）もはや〜ない,A,I don't drink coffee anymore.,私はもうコーヒーを飲みません。
anytime,形容詞・副詞,いつでも,A,You can call me anytime you want.,いつでも好きな時に電話してください。
anyway,形容詞・副詞,とにかく,A,"It was raining, but I went out anyway.",雨が降っていましたが、とにかく外出しました。
anywhere,形容詞・副詞,どこでも,A,You can sit anywhere you like.,好きな場所に座っていいですよ。
asleep,形容詞・副詞,眠って,A,The baby is fast asleep in the bed.,赤ちゃんはベッドでぐっすり眠っています。
available,形容詞・副詞,利用可能な,A,Is this seat available?,この席は空いていますか？
awake,形容詞・副詞,目を覚まして,A,I was awake until midnight last night.,私は昨夜、夜中まで起きていました。
awful,形容詞・副詞,ひどい,A,The weather was awful during our trip.,旅行中の天気はひどいものでした。
basic,形容詞・副詞,基礎的な,A,Learning grammar is a basic part of English.,文法を学ぶことは、英語の基礎的な部分です。
besides,形容詞・副詞,〜のほかに,A,"Besides English, she can speak French.",英語のほかに、彼女はフランス語も話せます。
beyond,形容詞・副詞,〜を越えて,A,The mountain is beyond that river.,その山はあの川の向こうにあります。
brave,形容詞・副詞,勇敢な,A,It was brave of him to say no.,「いいえ」と言った彼は勇敢でした。
calm,形容詞・副詞,穏やかな,A,Please stay calm and wait here.,落ち着いてここで待ってください。
careless,形容詞・副詞,不注意な,A,He made a careless mistake on the test.,彼はテストで不注意な間違いをしました。
certain,形容詞・副詞,確信して、ある〜,A,I am certain that he will come.,彼は来ると確信しています。
chemical,形容詞・副詞,化学の,A,We should not use harmful chemicals.,有害な化学物質を使うべきではありません。
common,形容詞・副詞,一般的な、共通の,A,Cold is a common illness in winter.,風邪は冬によくある病気です。
confident,形容詞・副詞,自信がある,A,I am confident about the match.,私はその試合に自信があります。
convenient,形容詞・副詞,便利な,A,Computers are very convenient for work.,コンピュータは仕事にとても便利です。
correct,形容詞・副詞,正しい,A,Your answer is correct.,あなたの答えは正しいです。
crowded,形容詞・副詞,混雑した,A,The train was very crowded this morning.,今朝、電車はとても混んでいました。
curious,形容詞・副詞,好奇心が強い,A,He is curious about everything.,彼は何にでも好奇心を持っています。
dead,形容詞・副詞,死んでいる,A,My grandfather has been dead for ten years.,祖父が亡くなって10年になります。
delicate,形容詞・副詞,繊細な,A,"This glass is very delicate, so be careful.",このグラスはとても壊れやすいので注意してください。
dental,形容詞・副詞,歯の,A,I have a dental appointment at three.,3時に歯医者の予約があります。
downtown,形容詞・副詞,繁華街へ,A,I am going downtown to go shopping.,買い物に街へ（繁華街へ）行きます。
elderly,形容詞・副詞,お年寄りの,A,We should be kind to elderly people.,お年寄りには親切にするべきです。
elementary,形容詞・副詞,初歩の,A,I learned English in elementary school.,私は小学校で英語を習いました。
else,形容詞・副詞,他に,A,Do you need anything else?,他に何か必要ですか？
empty,形容詞・副詞,空の,A,This box is empty.,この箱は空です。
equal,形容詞・副詞,等しい,A,Everyone should have equal chances.,誰もが平等な機会を持つべきです。
especially,形容詞・副詞,特に,A,"I like fruits, especially apples.",私は果物、特にリンゴが好きです。
eventually,形容詞・副詞,結局は,A,He worked hard and eventually succeeded.,彼は一生懸命働き、最後には成功しました。
exact,形容詞・副詞,正確な,A,Tell me the exact time of the meeting.,会議の正確な時間を教えてください。
excellent,形容詞・副詞,優秀な,A,This is an excellent idea.,これは素晴らしいアイデアです。
expensive,形容詞・副詞,高価な,A,This car is too expensive for me.,この車は私には高すぎます。
extra,形容詞・副詞,余分の,A,I need some extra time to finish it.,それを終えるのに少し余分な時間が必要です。
extremely,形容詞・副詞,非常に,A,It is extremely cold outside today.,今日は外は極めて寒いです。
fair,形容詞・副詞,公平な,A,That is not a fair rule.,それは公平なルールではありません。
familiar,形容詞・副詞,よく知られた,A,Her face looks familiar to me.,彼女の顔には見覚えがあります。
female,形容詞・副詞,女性の,A,The female lion is hunting now.,メスのライオンがいま狩りをしています。
flat,形容詞・副詞,平らな,A,Holland is a very flat country.,オランダはとても平らな国です。
following,形容詞・副詞,次の,A,Please answer the following questions.,次の質問に答えてください。
foolish,形容詞・副詞,愚かな,A,Don't be so foolish.,そんな馬鹿なことはしないで。
foreign,形容詞・副詞,外国の,A,I want to visit many foreign countries.,私は多くの外国を訪れたいです。
forever,形容詞・副詞,永遠に,A,I will remember this day forever.,私はこの日を一生忘れません。
forward,形容詞・副詞,前へ,A,Please take one step forward.,前に一歩進んでください。
further,形容詞・副詞,さらなる,A,Do you have any further questions?,さらに何か質問はありますか？
gradually,形容詞・副詞,徐々に,A,The weather is gradually getting warmer.,天気は徐々に暖かくなってきています。
hardly,形容詞・副詞,ほとんど〜ない,A,I could hardly hear his voice.,彼の声がほとんど聞こえませんでした。
harmful,形容詞・副詞,有害な,A,Smoking is harmful to your health.,喫煙は健康に有害です。
hidden,形容詞・副詞,隠された,A,He found a hidden treasure in the cave.,彼は洞窟で隠された宝を見つけました。
honest,形容詞・副詞,正直な,A,"To be honest, I don't like this cake.",正直に言うと、このケーキは好きではありません。
honorable,形容詞・副詞,尊敬すべき,A,Teaching is an honorable job.,教師は尊敬すべき仕事です。
hopefully,形容詞・副詞,願わくば,A,"Hopefully, it will be sunny tomorrow.",願わくば、明日は晴れてほしい。
huge,形容詞・副詞,巨大な,A,I saw a huge elephant at the zoo.,私は動物園で巨大なゾウを見ました。
ill,形容詞・副詞,病気の,A,My mother has been ill in bed.,母は病気で寝込んでいます。
immediately,形容詞・副詞,すぐに,A,Please call me immediately.,すぐに電話をください。
independent,形容詞・副詞,独立した,A,I want to be independent from my parents.,私は親から自立したいです。
indoors,形容詞・副詞,屋内で,A,"It's raining, so let's play indoors.",雨が降っているので、室内で遊びましょう。
instant,形容詞・副詞,即座の,A,I need an instant answer.,即答（即座の答え）が必要です。
instead,形容詞・副詞,代わりに,A,I will go instead of my brother.,兄の代わりに私が行きます。
lately,形容詞・副詞,最近,A,I haven't seen her lately.,最近、彼女に会っていません。
likely,形容詞・副詞,ありそうな,A,It is likely to rain tonight.,今夜は雨が降りそうです。
liquid,形容詞・副詞,液体の,A,Water is a liquid.,水は液体です。
lonely,形容詞・副詞,孤独な,A,I felt lonely living alone.,一人暮らしで寂しく感じました。
loud,形容詞・副詞,（声が）大きい,A,Don't talk in such a loud voice.,そんな大きな声で話さないでください。
mad,形容詞・副詞,怒って,A,My father was mad at me.,父は私に怒っていました。
male,形容詞・副詞,男性の,A,There are ten male workers here.,ここには10人の男性労働者がいます。
manual,形容詞・副詞,手動の、手引書,A,Does this car have manual windows?,この車は手動の窓ですか？
medical,形容詞・副詞,医学の,A,He is a medical student.,彼は医学生です。
narrow,形容詞・副詞,狭い,A,The road is too narrow for buses.,その道はバスには狭すぎます。
narrow,形容詞・副詞,狭い,A,The road was too narrow for the bus to pass.,その道はバスが通るには狭すぎました。
native,形容詞・副詞,母国の,A,My native language is Japanese.,私の母国語は日本語です。
natural,形容詞・副詞,自然の、当然の,A,It is natural to feel tired.,疲れるのは当然のことです。
nearby,形容詞・副詞,近くの,A,Let's have lunch at a nearby cafe.,近くのカフェで昼食を食べましょう。
negative,形容詞・副詞,否定的な,A,Don't have a negative opinion.,否定的な意見を持たないで。
neither,形容詞・副詞,どちらも〜ない,A,Neither of them came to the party.,彼らのどちらもパーティーに来ませんでした。
nervous,形容詞・副詞,緊張して,A,I was nervous before the speech.,スピーチの前、私は緊張していました。
nowadays,形容詞・副詞,近頃,A,"Nowadays, many people use smartphones.",近頃、多くの人がスマホを使っています。
opposite,形容詞・副詞,反対の,A,My school is on the opposite side of the street.,私の学校は通りの反対側にあります。
ordinary,形容詞・副詞,普通の,A,It was just an ordinary day.,それはただの普通の日でした。
pacific,形容詞・副詞,穏やかな,A,The Pacific Ocean is very large.,太平洋はとても広大です。
particular,形容詞・副詞,特定の,A,I have no particular plan today.,今日は特に（特定の）予定はありません。
perhaps,形容詞・副詞,もしかすると,A,Perhaps he will change his mind.,もしかすると彼は考えを変えるかもしれません。
personal,形容詞・副詞,個人の,A,This is a personal problem.,これは個人の問題です。
pleasant,形容詞・副詞,楽しい、心地よい,A,We had a pleasant time at the party.,パーティーで楽しい時間を過ごしました。
polite,形容詞・副詞,礼儀正しい,A,He is always polite to everyone.,彼はいつも誰に対しても礼儀正しいです。
possible,形容詞・副詞,可能な,A,It is possible to finish it today.,今日中にそれを終えることは可能です。
probably,形容詞・副詞,おそらく,A,I will probably stay home tomorrow.,私はたぶん明日は家にいます。
professional,形容詞・副詞,プロの,A,My dream is to be a professional golfer.,私の夢はプロゴルファーになることです。
quite,形容詞・副詞,かなり、全く,A,The movie was quite interesting.,その映画はかなり面白かったです。
rarely,形容詞・副詞,めったに〜ない,A,I rarely eat fast food.,私はめったにファストフードを食べません。
rather,形容詞・副詞,むしろ、かなり,A,I would rather stay here.,私はむしろここにいたいです。
raw,形容詞・副詞,生の,A,Do you like eating raw fish?,あなたは生魚を食べるのが好きですか？
real,形容詞・副詞,本物の,A,Is that a real flower?,あれは本物の花ですか？
recent,形容詞・副詞,最近の,A,Have you heard any recent news?,何か最近のニュースを聞きましたか？
regular,形容詞・副詞,規則的な,A,You should get regular exercise.,定期的に運動すべきです。
Russian,形容詞・副詞,ロシアの,A,She is studying Russian history.,彼女はロシアの歴史を勉強しています。
scary,形容詞・副詞,怖い,A,I don't like scary stories.,私は怖い話が好きではありません。
secret,形容詞・副詞,秘密の,A,I will tell you a secret place.,秘密の場所を教えてあげましょう。
seldom,形容詞・副詞,めったに〜ない,A,My father seldom watches TV.,父はめったにテレビを見ません。
serious,形容詞・副詞,重大な、真面目な,A,Global warming is a serious problem.,地球温暖化は深刻な問題です。
several,形容詞・副詞,いくつかの,A,I have been there several times.,私はそこに数回行ったことがあります。
shortly,形容詞・副詞,まもなく,A,The train will arrive shortly.,電車はまもなく到着します。
shy,形容詞・副詞,内気な,A,She is very shy with strangers.,彼女は知らない人の前ではとても内気です。
similar,形容詞・副詞,似ている,A,My bag is similar to yours.,私のバッグはあなたのと似ています。
sincerely,形容詞・副詞,心から,A,I sincerely thank you for your help.,助けていただき心から感謝します。
somewhere,形容詞・副詞,どこかに,A,I lost my key somewhere.,どこかで鍵をなくしました。
specific,形容詞・副詞,具体的な,A,Can you give me a specific example?,具体的な例を挙げてくれますか？
spicy,形容詞・副詞,辛い,A,Thai food is often very spicy.,タイ料理はしばしばとても辛いです。
straight,形容詞・副詞,まっすぐな,A,Go straight down this street.,この道をまっすぐ行ってください。
stressful,形容詞・副詞,ストレスの多い,A,Living in a big city can be stressful.,大都市での生活はストレスがたまることがあります。
successful,形容詞・副詞,成功した,A,He is a successful singer.,彼は成功した歌手です。
suddenly,形容詞・副詞,突然,A,"Suddenly, the light went out.",突然、電気が消えました。
suitable,形容詞・副詞,適した,A,This movie is suitable for children.,この映画は子供に適しています。
terrible,形容詞・副詞,ひどい,A,I had a terrible dream last night.,昨夜はひどい夢を見ました。
therefore,形容詞・副詞,それゆえに,A,"I was ill, and therefore I was absent.",私は病気でした、それゆえ欠席しました。
thick,形容詞・副詞,厚い,A,I bought a thick dictionary.,私は厚い辞書を買いました。
thin,形容詞・副詞,薄い、痩せた,A,He has thin legs.,彼は足が細いです。
tight,形容詞・副詞,きつい,A,These shoes are a little tight.,この靴は少しきついです。
tough,形容詞・副詞,困難な、丈夫な,A,"It was a tough game, but we won.",苦しい試合でしたが、勝ちました。
traditional,形容詞・副詞,伝統的な,A,We like traditional Japanese food.,私たちは伝統的な日本料理が好きです。
typical,形容詞・副詞,典型的な,A,This is a typical British house.,これは典型的なイギリスの家です。
unfortunately,形容詞・副詞,あいにく,A,"Unfortunately, I can't go with you.",あいにくですが、一緒に行けません。
unfriendly,形容詞・副詞,不親切な,A,The waiter was very unfriendly.,その店員はとても不親切でした。
unlike,形容詞・副詞,〜と違って,A,"Unlike my sister, I like sports.",姉と違って、私はスポーツが好きです。
unusual,形容詞・副詞,珍しい,A,It is unusual to see snow here.,ここで雪を見るのは珍しいです。
upstairs,形容詞・副詞,2階へ,A,My bedroom is upstairs.,私の寝室は2階にあります。
valuable,形容詞・副詞,貴重な,A,Time is more valuable than money.,時間はお金より貴重です。
various,形容詞・副詞,さまざまな,A,I like various kinds of music.,私はさまざまな種類の音楽が好きです。
violent,形容詞・副詞,暴力的な,A,We should not watch violent scenes.,暴力的なシーンを見るべきではありません。
wealthy,形容詞・副詞,裕福な,A,He grew up in a wealthy family.,彼は裕福な家庭で育ちました。
well-known,形容詞・副詞,よく知られた,A,He is a well-known actor in Japan.,彼は日本でよく知られた俳優です。
whatever,形容詞・副詞,〜するものは何でも,A,You can order whatever you like.,好きなものを何でも注文していいですよ。
whenever,形容詞・副詞,〜する時はいつでも,A,Come and see me whenever you can.,できる時はいつでも会いに来てください。
whole,形容詞・副詞,全体の,A,I spent the whole day reading.,私は一日中（丸一日）読書をして過ごしました。
wild,形容詞・副詞,野生の,A,There are many wild birds in this forest.,この森には多くの野鳥がいます。
within,形容詞・副詞,〜以内で,A,You must finish it within an hour.,1時間以内にそれを終えなければなりません。
wooden,形容詞・副詞,木製の,A,They are sitting on a wooden bench.,彼らは木製のベンチに座っています。
worth,形容詞・副詞,〜の価値がある,A,This museum is worth visiting.,この美術館は訪れる価値があります。
yet,形容詞・副詞,もう、まだ,A,Has the bus arrived yet?,バスはもう到着しましたか？
